Tag,date,X,Y,month,long,lat
183951,2020-01-10,-1017050.382312220000000,1192381.150076340000000,1.000000000000000,187.770547351077000,59.460045460545100
183951,2020-01-11,-1023312.300900070000000,1186119.231488480000000,1.000000000000000,187.694063241690000,59.390935477430700
183951,2020-01-12,-1026443.260194000000000,1179857.312900630000000,1.000000000000000,187.670993688425000,59.329420682489100
183951,2020-01-13,-1029574.219487930000000,1176726.353606700000000,1.000000000000000,187.632962630665000,59.294840565812500
183951,2020-01-14,-1035836.138075790000000,1173595.394312770000000,1.000000000000000,187.542034814412000,59.252576085317900
183951,2020-01-15,-1038967.097369720000000,1167333.475724910000000,1.000000000000000,187.519336149504000,59.191030710887200
183951,2020-01-16,-1045229.015957580000000,1161071.557137050000000,1.000000000000000,187.443971935190000,59.121766436736700
183951,2020-01-17,-1048359.975251500000000,1154809.638549190000000,1.000000000000000,187.421538447003000,59.060200003673800
183951,2020-01-18,-1054621.893839360000000,1151678.679255270000000,1.000000000000000,187.331501529685000,59.017783897163400
183951,2020-01-19,-1060883.812427220000000,1145416.760667410000000,1.000000000000000,187.256902747276000,58.948405031557800
183951,2020-01-20,-1064014.771721150000000,1139154.842079550000000,1.000000000000000,187.234920674862000,58.886800724433000
183951,2020-01-21,-1070276.690309010000000,1136023.882785620000000,1.000000000000000,187.145572628274000,58.844251391027900
183951,2020-01-22,-1073407.649602940000000,1132892.923491690000000,1.000000000000000,187.108613240299000,58.809510835299700
183951,2020-01-23,-1079669.568190790000000,1129761.964197760000000,1.000000000000000,187.019623899629000,58.766872320476900
183951,2020-01-24,-1082800.527484720000000,1126631.004903840000000,1.000000000000000,186.982875567144000,58.732094123576000
183951,2020-01-25,-1085931.486778650000000,1123500.045609910000000,1.000000000000000,186.946201697371000,58.697304692573600
183951,2020-01-26,-1092193.405366510000000,1120369.086315980000000,1.000000000000000,186.857704704245000,58.654551280076100
183951,2020-01-27,-1095324.364660440000000,1117238.127022050000000,1.000000000000000,186.821240109767000,58.619724501221500
183951,2020-01-28,-1098455.323954370000000,1114107.167728120000000,1.000000000000000,186.784849259413000,58.584886576658300
183951,2020-01-29,-1104717.242542220000000,1110976.208434190000000,1.000000000000000,186.696841137091000,58.542019083629800
183951,2020-01-30,-1104717.242542220000000,1107845.249140260000000,1.000000000000000,186.712287984953000,58.515177368292000
183951,2020-01-31,-1107848.201836150000000,1107845.249140260000000,1.000000000000000,186.660657795764000,58.507144100017500
183951,2020-02-01,-1110979.161130080000000,1107845.249140260000000,2.000000000000000,186.609051656905000,58.499089928631800
183951,2020-02-02,-1110979.161130080000000,1107845.249140260000000,2.000000000000000,186.609051656905000,58.499089928631800
183951,2020-02-03,-1110979.161130080000000,1107845.249140260000000,2.000000000000000,186.609051656905000,58.499089928631800
183951,2020-02-04,-1110979.161130080000000,1104714.289846330000000,2.000000000000000,186.624547486671000,58.472258057482900
183951,2020-02-05,-1107848.201836150000000,1098452.371258480000000,2.000000000000000,186.706963952666000,58.426623070464700
183951,2020-02-06,-1114110.120424010000000,1095321.411964550000000,2.000000000000000,186.619454276796000,58.383697530094000
183951,2020-02-07,-1114110.120424010000000,1095321.411964550000000,2.000000000000000,186.619454276796000,58.383697530094000
183951,2020-02-08,-1114110.120424010000000,1092190.452670620000000,2.000000000000000,186.634890496679000,58.356862223712000
183951,2020-02-09,-1114110.120424010000000,1089059.493376690000000,2.000000000000000,186.650302846110000,58.330024527050000
183951,2020-02-10,-1114110.120424010000000,1089059.493376690000000,2.000000000000000,186.650302846110000,58.330024527050000
183951,2020-02-11,-1114110.120424010000000,1089059.493376690000000,2.000000000000000,186.650302846110000,58.330024527050000
183951,2020-02-12,-1114110.120424010000000,1089059.493376690000000,2.000000000000000,186.650302846110000,58.330024527050000
183951,2020-02-13,-1114110.120424010000000,1089059.493376690000000,2.000000000000000,186.650302846110000,58.330024527050000
183951,2020-02-14,-1117241.079717940000000,1085928.534082760000000,2.000000000000000,186.614387033315000,58.295131197004800
183951,2020-02-15,-1120372.039011870000000,1085928.534082760000000,2.000000000000000,186.563106495807000,58.287057180617900
183951,2020-02-16,-1120372.039011870000000,1089059.493376690000000,2.000000000000000,186.547645841269000,58.313885121074100
183951,2020-02-17,-1120372.039011870000000,1089059.493376690000000,2.000000000000000,186.547645841269000,58.313885121074100
183951,2020-02-18,-1123502.998305800000000,1089059.493376690000000,2.000000000000000,186.496353175731000,58.305784252454300
183951,2020-02-19,-1126633.957599730000000,1089059.493376690000000,2.000000000000000,186.445084460769000,58.297662625393900
183952,2019-08-11,-841716.661852205000000,1671417.922047460000000,8.000000000000000,188.567441034956000,64.007413206704600
183952,2019-08-12,-838585.702558276000000,1674548.881341390000000,8.000000000000000,188.612767205857000,64.041765980292700
183952,2019-08-13,-835454.743264347000000,1680810.799929240000000,8.000000000000000,188.641596718455000,64.103200364965800
183952,2019-08-14,-829192.824676489000000,1677679.840635310000000,8.000000000000000,188.782414656766000,64.090536837586000
183952,2019-08-15,-829192.824676489000000,1677679.840635310000000,8.000000000000000,188.782414656766000,64.090536837586000
183952,2019-08-16,-832323.783970418000000,1680810.799929240000000,8.000000000000000,188.703742150359000,64.110435115467200
183952,2019-08-17,-838585.702558276000000,1680810.799929240000000,8.000000000000000,188.579482383002000,64.095940332553900
183952,2019-08-18,-844847.621146133000000,1683941.759223170000000,8.000000000000000,188.438550526182000,64.108416148542600
183952,2019-08-19,-863633.376909707000000,1693334.637104960000000,8.000000000000000,188.015034257829000,64.145061004580300
183952,2019-08-20,-869895.295497564000000,1690203.677811030000000,8.000000000000000,187.908299339864000,64.102993446834000
183952,2019-08-21,-879288.173379351000000,1680810.799929240000000,8.000000000000000,187.774864176020000,63.999268217909400
183952,2019-08-22,-885550.091967209000000,1677679.840635310000000,8.000000000000000,187.669012020448000,63.957040493914100
183952,2019-08-23,-891812.010555066000000,1677679.840635310000000,8.000000000000000,187.545938621738000,63.941706551051400
183952,2019-08-24,-894942.969848995000000,1674548.881341390000000,8.000000000000000,187.502031122160000,63.907044168782500
183952,2019-08-25,-898073.929142924000000,1674548.881341390000000,8.000000000000000,187.440627856967000,63.899322333635300
183952,2019-08-26,-901204.888436853000000,1674548.881341390000000,8.000000000000000,187.379257159061000,63.891575654474400
183952,2019-08-27,-901204.888436853000000,1674548.881341390000000,8.000000000000000,187.379257159061000,63.891575654474400
183952,2019-08-28,-901204.888436853000000,1668286.962753530000000,8.000000000000000,187.414528736852000,63.837685431047700
183952,2019-08-29,-901204.888436853000000,1662025.044165670000000,8.000000000000000,187.449670431055000,63.783790237125600
183952,2019-08-30,-901204.888436853000000,1652632.166283880000000,8.000000000000000,187.502140962979000,63.702938078237800
183952,2019-08-31,-901204.888436853000000,1646370.247696030000000,8.000000000000000,187.536960985001000,63.649030361507500
183952,2019-09-01,-904335.847730782000000,1636977.369814240000000,9.000000000000000,187.528231824821000,63.560475693095500
183952,2019-09-02,-910597.766318639000000,1633846.410520310000000,9.000000000000000,187.424305885295000,63.518096914993100
183952,2019-09-03,-919990.644200426000000,1633846.410520310000000,9.000000000000000,187.242678271765000,63.494773397520800
183952,2019-09-04,-932514.481376142000000,1633846.410520310000000,9.000000000000000,187.000956231753000,63.463333032711500
183952,2019-09-05,-945038.318551857000000,1633846.410520310000000,9.000000000000000,186.759750682123000,63.431502586941200
183952,2019-09-06,-954431.196433644000000,1636977.369814240000000,9.000000000000000,186.561066327777000,63.434208765780500
183952,2019-09-07,-960693.115021501000000,1633846.410520310000000,9.000000000000000,186.458977196843000,63.391167931405000
183952,2019-09-08,-963824.074315430000000,1627584.491932450000000,9.000000000000000,186.435362580505000,63.329400432659300
183952,2019-09-09,-973216.952197217000000,1624453.532638520000000,9.000000000000000,186.274005077877000,63.278088463529300
183952,2019-09-10,-979478.870785074000000,1621322.573344590000000,9.000000000000000,186.172866492480000,63.234857569960400
